hanja|hangul|english|hidden_index
登記|등기|registration| 登 記     
登記|등기|registry| 登 記     
再交付|재교부하다|regrant| 再 交 付    
再交付|재교부|regrant| 再 交 付    
後悔|후회|regret| 後 悔     
悔恨|회한|regret| 悔 恨     
哀悼|애도|regret| 哀 悼     
後悔|후회하다|regret| 後 悔     
規則的|규칙적인|regular| 規 則 的    
定常|정상적인|regular| 定 常     
秩序|질서|regularity| 秩 序     
規制|규제|regulation| 規 制     
調節|조절|regulation| 調 節     
調整|조정|regulation| 調 整     
規則|규칙|regulation| 規 則     
規定|규정|regulation| 規 定     
復權|복권|rehabilitation| 復 權     
再建|재건|rehabilitation| 再 建     
練習|연습하다|rehearse| 練 習     
治世|치세|reign| 治 世     
君臨|군림|reign| 君 臨     
統治|통치|reign| 統 治     
統治|통치하다|reign| 統 治     
君臨|군림하다|reign| 君 臨     
再生|재생|reincarnation| 再 生     
馴鹿|순록|reindeer| 馴 鹿     
再投資|재투자하다|reinvest| 再 投 資    
排除|배제|rejection| 排 除     
拒絶|거절|rejection| 拒 絶     
却下|각하|rejection| 却 下     
否決|부결|rejection| 否 決     
回春|회춘|rejuvenation| 回 春     
關聯|관련|relation| 關 聯     
關係|관계|relation| 關 係     
親戚|친척|relative| 親 戚     
相對的|상대적인|relative| 相 對 的    
交替|교체|relay| 交 替     
交代|교대|relay| 交 代     
繼電氣|계전기|relay| 繼 電 氣    
遞傳|체전|relay| 遞 傳     
中繼|중계|relay| 中 繼     
中繼|중계하다|relay| 中 繼     
解除|해제하다|release| 解 除     
免除|면제하다|release| 免 除     
解放|해방|release| 解 放     
釋放|석방|release| 釋 放     
放免|방면|release| 放 免     
解除|해제|release| 解 除     
信用|신용|reliance| 信 用     
救濟|구제|relief| 救 濟     
救援|구원|relief| 救 援     
交替|교체|relief| 交 替     
浮彫|부조|relief| 浮 彫     
賞味|상미|relish| 賞 味     
賞味|상미하다|relish| 賞 味     
殘滓|잔재|remain| 殘 滓     
遺骸|유해|remain| 遺 骸     
遺骨|유골|remain| 遺 骨     
殘餘|잔여|remainder| 殘 餘     
注目|주목하다|remark| 注 目     
論評|논평하다|remark| 論 評     
療法|요법|remedy| 療 法     
矯正|교정하다|remedy| 矯 正     
想起|상기하다|remember| 想 起     
記憶|기억|remembrance| 記 憶     
回想|회상|reminiscence| 回 想     
追憶|추억|reminiscence| 追 憶     
移動|이동|removal| 移 動     
除去|제거|removal| 除 去     
報酬|보수|remuneration| 報 酬     
一新|일신|renewal| 一 新     
刷新|쇄신|renovation| 刷 新     
高名|고명|renown| 高 名     
修理|수리하다|repair| 修 理     
賠償|배상|reparation| 賠 償     
歸還|귀환|repatriation| 歸 還     
償還|상환|repayment| 償 還     
廢棄|폐기|repeal| 廢 棄     
撤回|철회|repeal| 撤 回     
反復|반복하다|repeat| 反 復     
反復|반복하는|repeating| 反 復     
後悔|후회하다|repent| 後 悔     
後悔|후회|repentance| 後 悔     
懺悔|참회|repentance| 懺 悔     
反復|반복|repetition| 反 復     
復唱|복창|repetition| 復 唱     
代替|대체하다|replace| 代 替     
後繼者|후계자|replacement| 後 繼 者    
回答|회답|reply| 回 答     
應酬|응수|reply| 應 酬     
記事|기사|report| 記 事     
銃聲|총성|report| 銃 聲     
通報|통보하다|report| 通 報     
報告|보고하다|report| 報 告     
報道|보도하다|report| 報 道     
靜止|정지|repose| 靜 止     
休息|휴식하다|repose| 休 息     
代表|대표|representation| 代 表     
代理|대리|representation| 代 理     
代表者|대표자|representative| 代 表 者    
代理人|대리인|representative| 代 理 人    
代表|대표하는|representative| 代 表     
代表的|대표적인|representative| 代 表 的    
譴責|견책|reprimand| 譴 責     
叱責|질책|reprimand| 叱 責     
叱責|질책하다|reprimand| 叱 責     
飜刻|번각하다|reprint| 飜 刻     
再現|재현|reproduction| 再 現     
再生産|재생산|reproduction| 再 生 産    
複製|복제|reproduction| 複 製     
譴責|견책|reproof| 譴 責     
否認|부인|repudiation| 否 認     
評判|평판|reputation| 評 判     
世評|세평|reputation| 世 評     
要請|요청하다|request| 要 請     
申請|신청하다|request| 申 請     
要求|요구|request| 要 求     
要請|요청|request| 要 請     
懇請|간청|request| 懇 請     
請求|청구|request| 請 求     
需要|수요|request| 需 要     
命令|명령하다|require| 命 令     
要請|요청하다|require| 要 請     
要求|요구하다|require| 要 求     
必需品|필수품|requisite| 必 需 品    
徵發|징발|requisition| 徵 發     
要求|요구하다|requisition| 要 求     
轉賣|전매|resale| 轉 賣     
廢止|폐지하다|rescind| 廢 止     
救出|구출하다|rescue| 救 出     
救助|구조하다|rescue| 救 助     
救出|구출|rescue| 救 出     
救援|구원|rescue| 救 援     
探究|탐구|research| 探 究     
調査|조사하다|research| 調 査     
憤慨|분개|resentment| 憤 慨     
忿怒|분노|resentment| 忿 怒     
保留|보류하다|reserve| 保 留     
保留|보류|reserve| 保 留     
豫備|예비|reserve| 豫 備     
住居|주거|residence| 住 居     
住所|주소|residence| 住 所     
居住|거주|residence| 居 住     
居留|거류|residence| 居 留     
駐在|주재|residence| 駐 在     
居住者|거주자|resident| 居 住 者    
殘餘|잔여|residue| 殘 餘     
辭職|사직|resignation| 辭 職     
辭任|사임|resignation| 辭 任     
抛棄|포기|resignation| 抛 棄     
服從|복종|resignation| 服 從     
忍從|인종|resignation| 忍 從     
樹脂|수지|resin| 樹 脂     
反抗|반항|resistance| 反 抗     
反對|반대|resistance| 反 對     
抵抗|저항|resistance| 抵 抗     
決然|결연히|resolutely| 決 然     
決議|결의|resolution| 決 議     
議決|의결하다|resolve| 議 決     
決心|결심하다|resolve| 決 心     
共鳴|공명|resonance| 共 鳴     
共振|공진|resonance| 共 振     
反響|반향하다|resound| 反 響     
財源|재원|resource| 財 源     
資力|자력|resource| 資 力     
機略|기략|resource| 機 略     
尊敬|존경|respect| 尊 敬     
敬意|경의|respect| 敬 意     
尊重|존중|respect| 尊 重     
尊敬|존경하다|respect| 尊 敬     
尊重|존중하다|respect| 尊 重     
各各|각각|respectively| 各 各     
呼吸|호흡|respiration| 呼 吸     
應答|응답|response| 應 答     
反應|반응|response| 反 應     
義務|의무|responsibility| 義 務     
責任|책임|responsibility| 責 任     
負擔|부담|responsibility| 負 擔     
殘餘|잔여|rest| 殘 餘     
休息|휴식|rest| 休 息     
休養|휴양|rest| 休 養     
安靜|안정|rest| 安 靜     
休止|휴지|rest| 休 止     
休息|휴식하다|rest| 休 息     
休養|휴양하다|rest| 休 養     
永眠|영면하다|rest| 永 眠     
再出發|재출발하다|restart| 再 出 發    
回復|회복|restoration| 回 復     
復舊|복구|restoration| 復 舊     
復位|복위|restoration| 復 位     
返還|반환|restoration| 返 還     
還付|환부|restoration| 還 付     
制止|제지|restraint| 制 止     
拘束|구속|restraint| 拘 束     
束縛|속박|restraint| 束 縛     
限定|한정하다|restrict| 限 定     
制限|제한|restriction| 制 限     
限定|한정|restriction| 限 定     
拘束|구속|restriction| 拘 束     
束縛|속박|restriction| 束 縛     
限定的|한정적인|restrictive| 限 定 的    
成果|성과|result| 成 果     
結果|결과|result| 結 果     
合力|합력|resultant force| 合 力     
蘇生|소생|resuscitation| 蘇 生     
小賣|소매|retail| 小 賣     
家臣|가신|retainer| 家 臣     
臣下|신하|retainer| 臣 下     
沮止|저지하다|retard| 沮 止     
保有|보유|retention| 保 有     
退職者|퇴직자|retiree| 退 職 者    
隱退|은퇴|retirement| 隱 退     
隱居|은거|retirement| 隱 居     
定年|정년|retirement age| 定 年     
重譯|중역|retranslation| 重 譯     
改譯|개역|retranslation| 改 譯     
退却|퇴각|retreat| 退 却     
後退|후퇴|retreat| 後 退     
後退|후퇴하다|retreat| 後 退     
退却|퇴각하다|retreat| 退 却     
再審|재심|retrial| 再 審     
報復|보복|retribution| 報 復     
逆行|역행하다|retrograde| 逆 行     
退化|퇴화|retrogression| 退 化     
回復|회복하다|return| 回 復     
返還|반환하다|return| 返 還     
歸還|귀환|return| 歸 還     
復歸|복귀|return| 復 歸     
再發|재발|return| 再 發     
返還|반환|return| 返 還     
收益|수익|return| 收 益     
歸還者|귀환자|returnee| 歸 還 者    
再會|재회|reunion| 再 會     
暴露|폭로|revelation| 暴 露     
天啓|천계|revelation| 天 啓     
啓示|계시|revelation| 啓 示     
復讐|복수|revenge| 復 讐     
復讐|복수하다|revenge| 復 讐     
反響|반향하다|reverberate| 反 響     
反響|반향|reverberation| 反 響     
反射|반사|reverberation| 反 射     
尊敬|존경하다|revere| 尊 敬     
尊敬|존경|reverence| 尊 敬     
尊敬|존경하다|reverence| 尊 敬     
夢想|몽상|reverie| 夢 想     
逆轉|역전|reversal| 逆 轉     
反對|반대|reverse| 反 對     
背面|배면|reverse| 背 面     
逆轉|역전하는|reverse| 逆 轉     
再吟味|재음미|review| 再 吟 味    
復習|복습|review| 復 習     
批評|비평|review| 批 評     
再審|재심|review| 再 審     
視察|시찰하다|review| 視 察     
再審|재심하다|review| 再 審     
批評|비평하다|review| 批 評     
復習|복습하다|review| 復 習     
改訂|개정|revision| 改 訂     
校訂|교정|revision| 校 訂     
訂正|정정|revision| 訂 正     
改譯|개역|revision| 改 譯     
廢止|폐지하다|revoke| 廢 止     
暴動|폭동|revolt| 暴 動     
反感|반감|revolt| 反 感     
反抗|반항하다|revolt| 反 抗     
反逆|반역하다|revolt| 反 逆     
旋回|선회|revolution| 旋 回     
運行|운행|revolution| 運 行     
回轉|회전|revolution| 回 轉     
回歸|회귀|revolution| 回 歸     
報酬|보수|reward| 報 酬     
狂想曲|광상곡|rhapsody| 狂 想 曲    
律動|율동|rhythm| 律 動     
韻律|운율|rhythm| 韻 律     
肋骨|늑골|rib| 肋 骨     
騎手|기수|rider| 騎 手     
嘲弄|조롱|ridicule| 嘲 弄     
小銃|소총|rifle| 小 銃     
正當|정당|right| 正 當     
正義|정의|right| 正 義     
權利|권리|right| 權 利     
直角|직각|right angle| 直 角     
正義|정의|righteousness| 正 義     
霧氷|무빙|rime| 霧 氷     
帳本人|장본인|ringleader| 帳 本 人    
白癬|백선|ringworm| 白 癬     
暴動|폭동|riot| 暴 動     
騷擾|소요|riot| 騷 擾     
騷動|소동|riot| 騷 動     
成熟|성숙|ripeness| 成 熟     
圓熟|원숙|ripeness| 圓 熟     
波紋|파문|ripple| 波 紋     
向上|향상하다|rise| 向 上     
騰貴|등귀하다|rise| 騰 貴     
隆起|융기하다|rise| 隆 起     
向上|향상|rise| 向 上     
騰貴|등귀|rise| 騰 貴     
起原|기원|rise| 起 原     
上昇|상승|rising| 上 昇     
起床|기상|rising| 起 床     
冒險|모험|risk| 冒 險     
冒險|모험하다|risk| 冒 險     
競爭者|경쟁자|rival| 競 爭 者    
敵手|적수|rival| 敵 手     
競爭|경쟁하는|rival| 競 爭     
競爭|경쟁하다|rival| 競 爭     
河川|하천|river| 河 川     
道路|도로|road| 道 路     
車道|차도|roadway| 車 道     
怒號|노호하다|roar| 怒 號     
咆哮|포효|roar| 咆 哮     
咆哮|포효하는|roaring| 咆 哮     
怒號|노호하는|roaring| 怒 號     
掠奪|약탈|robbery| 掠 奪     
岩石|암석|rock| 岩 石     
鑿岩機|착암기|rock drill| 鑿 岩 機    
烽火|봉화|rocket| 烽 火     
役割|역할|role| 役 割     
屋上|옥상|rooftop| 屋 上     
餘地|여지|room| 餘 地     
餘裕|여유|room| 餘 裕     
根底|근저|root| 根 底     
根源|근원|root| 根 源     
本源|본원|root| 本 源     
根菜類|근채류|root crop| 根 菜 類    
根毛|근모|root hair| 根 毛     
根莖|근경|root stalk| 根 莖     
薔薇|장미|rose| 薔 薇     
紫檀|자단|rosewood| 紫 檀     
演壇|연단|rostrum| 演 壇     
旋回|선회|rotation| 旋 回     
輪番|윤번|rotation| 輪 番     
圓卓|원탁|round table| 圓 卓     
潰走|궤주|rout| 潰 走     
航路|항로|route| 航 路     
放浪|방랑하는|roving| 放 浪     
王權|왕권|royalty| 王 權     
摩擦|마찰|rubbing| 摩 擦     
紅玉|홍옥|ruby| 紅 玉     
惡漢|악한|ruffian| 惡 漢     
殘骸|잔해|ruin| 殘 骸     
滅亡|멸망|ruin| 滅 亡     
沒落|몰락|ruin| 沒 落     
破滅|파멸|ruin| 破 滅     
破滅|파멸하다|ruin| 破 滅     
主義|주의|rule| 主 義     
支配|지배|rule| 支 配     
治世|치세|rule| 治 世     
規則|규칙|rule| 規 則     
罫線|괘선|rule| 罫 線     
支配|지배하다|rule| 支 配     
統治|통치하다|rule| 統 治     
統治|통치자|ruler| 統 治     
裁定|재정|ruling| 裁 定     
反芻|반추|rumination| 反 芻     
逃亡者|도망자|runaway| 逃 亡 者    
挾殺|협살|rundown| 挾 殺     
走者|주자|runner| 走 者     
走狗|주구|running dog| 走 狗     
流水流水|유수|running water| 流 水 流 水   
滑走路|활주로|runway| 滑 走 路    
破裂|파열|rupture| 破 裂     
決裂|결렬|rupture| 決 裂     
破裂|파열하다|rupture| 破 裂     
殺到|쇄도하는|rush| 殺 到     
殺到|쇄도하다|rush| 殺 到     
突進|돌진|rush| 突 進     
發情|발정하다|rut| 發 情     
糖類|당류|saccharide| 糖 類     
不可侵|불가침|sacredness| 不 可 侵    
保管|보관|safekeeping| 保 管     
安全|안전|safety| 安 全     
聰明|총명|sagacity| 聰 明     
航程|항정|sail| 航 程     
帆布|범포|sailcloth| 帆 布     
帆走|범주|sailing| 帆 走     
出帆|출범|sailing| 出 帆     
船員|선원|sailor| 船 員     
水夫|수부|sailor| 水 夫     
水兵|수병|sailor| 水 兵     
聖人|성인|saint| 聖 人     
販賣|판매|sale| 販 賣     
賣却|매각|sale| 賣 却     
賣上高|매상고|sale| 賣 上 高    
女店員|여점원|saleswoman| 女 店 員    
唾液|타액|saliva| 唾 液     
鹽田|염전|saltpan| 鹽 田     
硝石|초석|saltpeter| 硝 石     
救濟|구제|salvation| 救 濟     
軟膏|연고|salve| 軟 膏     
同一|동일|sameness| 同 一     
見本|견본|sample| 見 本     
裁可|재가|sanction| 裁 可     
制裁|제재|sanction| 制 裁     
聖堂|성당|sanctuary| 聖 堂     
砂洲|사주|sandbank| 砂 洲     
砂岩|사암|sandstone| 砂 岩     
樹液|수액|sap| 樹 液     
苗木|묘목|sapling| 苗 木     
靑玉|청옥|sapphire| 靑 玉     
諷刺|풍자|sarcasm| 諷 刺     
肉腫|육종|sarcoma| 肉 腫     
石棺|석관|sarcophagus| 石 棺     
衛星|위성|satellite| 衛 星     
飽滿|포만|satiety| 飽 滿     
諷刺|풍자|satire| 諷 刺     
諷刺|풍자하다|satire| 諷 刺     
諷刺|풍자하다|satirize| 諷 刺     
滿足|만족|satisfaction| 滿 足     
節約|절약하는|saving| 節 約     
貯蓄|저축|saving| 貯 蓄     
節約|절약|saving| 節 約     
疥癬|개선|scabies| 疥 癬     
火傷|화상|scald| 火 傷     
尺度|척도|scale| 尺 度     
規模|규모|scale| 規 模     
天秤|천칭|scale| 天 秤     
醜聞|추문|scandal| 醜 聞     
疑獄|의옥|scandal| 疑 獄     
猩紅熱|성홍열|scarlet fever| 猩 紅 熱    
脚本|각본|scenario| 脚 本     
場面|장면|scene| 場 面     
光景|광경|scene| 光 景     
風景|풍경|scenery| 風 景     
豫定|예정하다|schedule| 豫 定     
計劃|계획|scheme| 計 劃     
計劃|계획하다|scheme| 計 劃     
學者|학자|scholar| 學 者     
學識|학식|scholarship| 學 識     
學校|학교|school| 學 校     
學齡|학령|school age| 學 齡     
科學|과학|science| 科 學     
科學的|과학적인|scientific| 科 學 的    
得點|득점|score| 得 點     
得點|득점하다|score| 得 點     
輕蔑|경멸하다|scorn| 輕 蔑     
惡黨|악당|scoundrel| 惡 黨     
廢物|폐물|scrap| 廢 物     
廢棄|폐기하다|scrap| 廢 棄     
擦過傷|찰과상|scratch| 擦 過 傷    
筆記者|필기자|scribe| 筆 記 者    
原本|원본|script| 原 本     
經典|경전|scripture| 經 典     
聖典|성전|scripture| 聖 典     
吟味|음미|scrutiny| 吟 味     
彫刻|조각|sculpture| 彫 刻     
壞血病|괴혈병|scurvy| 壞 血 病    
海水浴|해수욕|sea bathing| 海 水 浴    
海馬|해마|sea horse| 海 馬     
海面|해면|sea level| 海 面     
海賊|해적|sea robber| 海 賊     
海路|해로|sea route| 海 路     
魚介|어개|seafood| 魚 介     
印章|인장|seal| 印 章     
季節|계절|season| 季 節     
調味|조미|seasoning| 調 味     
調味料|조미료|seasoning| 調 味 料    
座席|좌석|seat| 座 席     
海草|해초|seaweed| 海 草     
隱退|은퇴|seclusion| 隱 退     
裏作|이작|second crop| 裏 作     
少尉|소위|second lieutenant| 少 尉     
秘密|비밀|secrecy| 秘 密     
秘訣|비결|secret| 秘 訣     
秘書|비서|secretary| 秘 書     
書記|서기|secretary| 書 記     
長官|장관|secretary| 長 官     
宗派|종파|sect| 宗 派     
切斷|절단|section| 切 斷     
區分|구분|section| 區 分     
方眼紙|방안지|section paper| 方 眼 紙    
安全|안전|security| 安 全     
保障|보장|security| 保 障     
證券|증권|security| 證 券     
訪問|방문하다|see| 訪 問     
經驗|경험하다|see| 經 驗     
種子|종자|seed| 種 子     
子葉|자엽|seed leaf| 子 葉     
苗床|묘상|seedbed| 苗 床     
播種|파종|seeding| 播 種     
苗木|묘목|seedling| 苗 木     
預言者|예언자|seer| 預 言 者    
分離|분리|segregation| 分 離     
選拔|선발|selection| 選 拔     
拔萃|발췌|selection| 拔 萃     
自己|자기|self| 自 己     
自我|자아|self| 自 我     
克己|극기|self denial| 克 己     
私利|사리|self interest| 私 利     
精液|정액|semen| 精 液     
年長|연장|seniority| 年 長     
感覺|감각|sensation| 感 覺     
官能|관능|sense| 官 能     
意識|의식|sense| 意 識     
官能的|관능적인|sensual| 官 能 的    
好色|호색|sensuality| 好 色     
感覺的|감각적인|sensuous| 感 覺 的    
文章|문장|sentence| 文 章     
判決|판결|sentence| 判 決     
宣告|선고|sentence| 宣 告     
感傷|감상적인|sentiment| 感 傷     
情趣|정취|sentiment| 情 趣     
感傷|감상|sentiment| 感 傷     
感傷主義|감상주의|sentimentalism| 感 傷 主 義   
分離|분리|separation| 分 離     
別居|별거|separation| 別 居     
順序|순서|sequence| 順 序     
後宮|후궁|seraglio| 後 宮     
連載|연재|serialization| 連 載     
蛇紋石|사문석|serpentine| 蛇 紋 石    
血淸|혈청|serum| 血 淸     
奉仕|봉사하다|serve| 奉 仕     
奉仕|봉사|service| 奉 仕     
貢獻|공헌|service| 貢 獻     
勤務|근무|service| 勤 務     
挫折|좌절|setback| 挫 折     
解決|해결|settlement| 解 決     
開拓者|개척자|settler| 開 拓 者    
下水|하수|sewerage| 下 水     
裁縫|재봉|sewing| 裁 縫     
尾行|미행자|shadow| 尾 行     
頁岩|혈암|shale| 頁 岩     
恥辱|치욕|shame| 恥 辱     
株主|주주|shareholder| 株 主     
板金|판금|sheet metal| 板 金     
砲彈|포탄|shell| 砲 彈     
貝塚|패총|shell heap| 貝 塚     
保護|보호하다|shelter| 保 護     
默殺|묵살하다|shelve| 默 殺     
交代|교대|shift| 交 代     
造船|조선|shipbuilding| 造 船     
船主|선주|shipowner| 船 主     
出荷|출하|shipping| 出 荷     
震動|진동|shock| 震 動     
短靴|단화|shoe| 短 靴     
疾走|질주하다|shoot| 疾 走     
射手|사수|shooter| 射 手     
發射|발사|shooting| 發 射     
射出|사출|shooting| 射 出     
店員|점원|shop assistant| 店 員     
女店員|여점원|shopgirl| 女 店 員    
短波|단파|short wave| 短 波     
缺乏|결핍|shortage| 缺 乏     
短縮|단축|shortening| 短 縮     
彈丸|탄환|shot| 彈 丸     
霰彈|산탄|shot| 霰 彈     
肩章|견장|shoulder strap| 肩 章     
對決|대결|showdown| 對 決     
斷片|단편|shred| 斷 片     
灌木|관목|shrub| 灌 木     
休業|휴업|shutdown| 休 業     
病床|병상|sickbed| 病 床     
病室|병실|sickroom| 病 室     
內職|내직|side line| 內 職     
餘興|여흥|side show| 餘 興     
人道|인도|sidewalk| 人 道     
側線|측선|siding| 側 線     
歎息|탄식|sigh| 歎 息     
看板|간판|sign| 看 板     
徵候|징후|sign| 徵 候     
信號|신호하다|sign| 信 號     
信號|신호|signal| 信 號     
信號|신호하다|signalize| 信 號     
署名|서명|signature| 署 名     
看板|간판|signboard| 看 板     
意味|의미|significance| 意 味     
道標|도표|signpost| 道 標     
沈默|침묵|silence| 沈 默     
相似|상사|similarity| 相 似     
單利|단리|simple interest| 單 利     
單文|단문|simple sentence| 單 文     
單純|단순|simplicity| 單 純     
簡素|간소|simplicity| 簡 素     
素朴|소박|simplicity| 素 朴     
誠意|성의|sincerity| 誠 意     
筋肉|근육|sinew| 筋 肉     
獨身|독신|single| 獨 身     
單一|단일|single| 單 一     
姉妹|자매|sister| 姉 妹     
着席|착석하다|sit| 着 席     
用地|용지|site| 用 地     
敷地|부지|site| 敷 地     
位置|위치|situation| 位 置     
形勢|형세|situation| 形 勢     
立場|입장|situation| 立 場     
骸骨|해골|skeleton| 骸 骨     
皮膚|피부|skin| 皮 膚     
跳躍|도약|skip| 跳 躍     
散兵|산병|skirmisher| 散 兵     
頭蓋骨|두개골|skull| 頭 蓋 骨    
摩天樓|마천루|skyscraper| 摩 天 樓    
消石灰|소석회|slaked lime| 消 石 灰    
中傷|중상하다|slander| 中 傷     
粘板岩|점판암|slate| 粘 板 岩    
屠殺|도살|slaughter| 屠 殺     
夢遊病者|몽유병자|sleepwalker| 夢 遊 病 者   
夢遊病|몽유병|sleepwalking| 夢 遊 病    
水門|수문|sluice gate| 水 門     
不振|부진|slump| 不 振     
天然痘|천연두|smallpox| 天 然 痘    
鎔鑛爐|용광로|smelting furnace| 鎔 鑛 爐    
喫煙|끽연|smoking| 喫 煙     
默殺|묵살하다|smother| 默 殺     
速寫|속사|snapshot| 速 寫     
嘲笑|조소|sneer| 嘲 笑     
雪原|설원|snow field| 雪 原     
凍石|동석|soapstone| 凍 石     
節酒|절주|sobriety| 節 酒     
蹴球|축구|soccer| 蹴 球     
社會|사회|society| 社 會     
協會|협회|society| 協 會     
男色|남색|sodomy| 男 色     
獸姦|수간|sodomy| 獸 姦     
軟口蓋|연구개|soft palate| 軟 口 蓋    
軟水|연수|soft water| 軟 水     
軟化|연화|softening| 軟 化     
土壤|토양|soil| 土 壤     
土地|토지|soil| 土 地     
慰安|위안|solace| 慰 安     
軍人|군인|soldier| 軍 人     
戰士|전사|soldier| 戰 士     
嚴肅|엄숙|solemnity| 嚴 肅     
莊嚴|장엄|solemnity| 莊 嚴     
勸誘|권유|solicitation| 勸 誘     
凝結|응결|solidification| 凝 結     
孤獨|고독|solitude| 孤 獨     
獨居|독거|solitude| 獨 居     
解決|해결|solution| 解 決     
溶解|용해|solution| 溶 解     
溶劑|용제|solvent| 溶 劑     
溶媒|용매|solvent| 溶 媒     
多少|다소|somewhat| 多 少     
夢遊病|몽유병|somnambulism| 夢 遊 病    
唱歌|창가|song| 唱 歌     
歌曲|가곡|song| 歌 曲     
歌唱|가창|song| 歌 唱     
鳴禽|명금|songbird| 鳴 禽     
詭辯|궤변|sophism| 詭 辯     
詭辯|궤변|sophistry| 詭 辯     
魔法|마법|sorcery| 魔 法     
魔術|마술|sorcery| 魔 術     
不幸|불행|sorrow| 不 幸     
區分|구분|sorting| 區 分     
靈魂|영혼|soul| 靈 魂     
精神|정신|soul| 精 神     
音響|음향|sound| 音 響     
音波|음파|sound wave| 音 波     
測深|측심|sounding| 測 深     
測鉛|측연|sounding lead| 測 鉛     
根源|근원|source| 根 源     
源泉|원천|source| 源 泉     
出處|출처|source| 出 處     
原因|원인|source| 原 因     
南東|남동|Southeast| 南 東     
南西|남서|Southwest| 南 西     
記念品|기념품|souvenir| 記 念 品    
主權|주권|sovereignty| 主 權     
空間|공간|space| 空 間     
宇宙|우주|space| 宇 宙     
間隔|간격|space| 間 隔     
全長|전장|span| 全 長     
發作|발작|spasm| 發 作     
發作的|발작적인|spasmodic| 發 作 的    
專門|전문|speciality| 專 門     
正貨|정화|specie| 正 貨     
比重|비중|specific gravity| 比 重     
比熱|비열|specific heat| 比 熱     
標本|표본|specimen| 標 本     
壯觀|장관|spectacle| 壯 觀     
眼鏡|안경|spectacle| 眼 鏡     
幽靈|유령|specter| 幽 靈     
分光|분광|spectrum| 分 光     
推測|추측하다|speculate| 推 測     
思索|사색|speculation| 思 索     
投機|투기|speculation| 投 機     
速力|속력|speed| 速 力     
速度|속도|speed| 速 度     
呪文|주문|spell| 呪 文     
綴字|철자|spelling| 綴 字     
精蟲|정충|sperm| 精 蟲     
精子|정자|sperm| 精 子     
球體|구체|sphere| 球 體     
括約筋|괄약근|sphincter| 括 約 筋    
脊柱|척주|spinal column| 脊 柱     
紡錘|방추|spindle| 紡 錘     
靈魂|영혼|spirit| 靈 魂     
精神|정신|spirit| 精 神     
降神術|강신술|spiritualism| 降 神 術    
唯心論|유심론|spiritualism| 唯 心 論    
惡意|악의|spite| 惡 意     
脾臟|비장|spleen| 脾 臟     
破片|파편|splinter| 破 片     
海綿|해면|sponge| 海 綿     
自發的|자발적인|spontaneous| 自 發 的    
散發|산발적인|sporadic| 散 發     
配偶者|배우자|spouse| 配 偶 者    
夫婦|부부|spouse| 夫 婦     
噴霧器|분무기|sprayer| 噴 霧 器    
普及|보급|spread| 普 及     
跳躍|도약하다|spring| 跳 躍     
撒布|살포|sprinkling| 撒 布     
妖精|요정|sprite| 妖 精     
拍車|박차|spur| 拍 車     
分隊|분대|squad| 分 隊     
突風|돌풍|squall| 突 風     
疾風|질풍|squall| 疾 風     
平方|평방|square| 平 方     
密告者|밀고자|squealer| 密 告 者    
搾取|착취하다|squeeze| 搾 取     
安定|안정|stability| 安 定     
部員|부원|staff| 部 員     
參謀|참모|staff officer| 參 謀     
舞臺|무대|stage| 舞 臺     
驛馬車|역마차|stagecoach| 驛 馬 車    
沈滯|침체|stagnation| 沈 滯     
汚点汚點|오점|stain| 汚 点 汚 點   
火刑|화형|stake| 火 刑     
鍾乳石|종유석|stalactite| 鍾 乳 石    
石筍|석순|stalagmite| 石 筍     
種馬|종마|stallion| 種 馬     
標準|표준|standard| 標 準     
本位|본위|standard| 本 位     
劃一|획일|standardization| 劃 一     
立場|입장|standpoint| 立 場     
停止|정지|standstill| 停 止     
主食|주식|staple food| 主 食     
右舷|우현|starboard| 右 舷     
澱粉|전분|starch| 澱 粉     
凝視|응시하다|stare| 凝 視     
凝視|응시|stare| 凝 視     
起点起點|기점|starting point| 起 点 起 點   
餓死|아사|starvation| 餓 死     
國家|국가|state| 國 家     
陳述|진술|statement| 陳 述     
聲明|성명|statement| 聲 明     
政治家|정치가|statesman| 政 治 家    
靜電氣|정전기|static electricity| 靜 電 氣    
靜力學|정역학|statics| 靜 力 學    
統計的|통계적인|statistical| 統 計 的    
統計|통계|statistics| 統 計     
汽笛|기적|steam whistle| 汽 笛     
汽船|기선|steamship| 汽 船     
鋼鐵|강철|steel| 鋼 鐵     
惡臭|악취|stench| 惡 臭     
速記|속기|stenography| 速 記     
措置|조치|step| 措 置     
中性|중성|sterility| 中 性     
殺菌|살균|sterilization| 殺 菌     
滅菌|멸균|sterilization| 滅 菌     
消毒|소독|sterilization| 消 毒     
胸骨|흉골|sternum| 胸 骨     
執事|집사|steward| 執 事     
汚名|오명|stigma| 汚 名     
死産|사산|stillbirth| 死 産     
竹馬|죽마|stilt| 竹 馬     
興奮|흥분|stimulation| 興 奮     
刺戟|자극|stimulus| 刺 戟     
約定|약정|stipulation| 約 定     
株券|주권|stock certificate| 株 券     
火夫|화부|stoker| 火 夫     
鈍感|둔감|stolidity| 鈍 感     
氣孔|기공|stoma| 氣 孔     
石材|석재|stone| 石 材     
核果|핵과|stone fruit| 核 果     
石工|석공|stonemason| 石 工     
終止|종지|stop| 終 止     
停止|정지|stoppage| 停 止     
貯藏|저장|storage| 貯 藏     
